id,poster,content
9353159,PBmining,"Thanks guys, we have been getting very positive feedback during our first couple days! &nbsp;<br /><br />We have also received a few requests to eliminate the buyer restrictions, so we have gone ahead and put some new auctions up on Ebay.<br /><br />http://www.ebay.com/usr/pbmining<br /><br />Congratulations to ebay user sokaris91, who managed to steal a total of 800MH/s for $2.25!!!!<br /><br /><br /><br />EDIT: Still experiencing technical problems with my listings.&nbsp; Talking to Ebay again to have those buyer restrictions removed."
9243166,PBmining,We also just dropped our price/GH for existing customers.&nbsp; .016/GH<br />This offer is temporary!
9243167,innocentpixel,And this little piggy went hashing! 93<br />1CieMoWvymmCyXUkg91tHnYHCsQUNpQw26
9243168,empoweoqwj,"Quote from: PBmining on January 17, 2014, 06:43:12 PM<br /><br />We also just dropped our price/GH for existing customers.&nbsp; .016/GH<br />This offer is temporary!<br /><br /><br />Just for existing customers???"
9243169,PBmining,"Quote from: empoweoqwj on January 18, 2014, 10:21:09 AM<br /><br />Quote from: PBmining on January 17, 2014, 06:43:12 PM<br /><br />We also just dropped our price/GH for existing customers. &nbsp;.016/GH<br />This offer is temporary!<br /><br /><br />Just for existing customers???<br /><br /><br />For now, yes. &nbsp;We want to build trust with our first customers, by giving them the buyer protection that Ebay can offer. &nbsp;We believe in doing this for awhile before asking for Bitcoins from new users. &nbsp;New user signups will eventually come, but for now you have to either purchase our contracts on Ebay or win the Giveaway. &nbsp;:) &nbsp;<br />&nbsp;&nbsp;"
9243170,ajw7989,how do we purchase the 5 year mining contracts for .016 bitcoin. I am definitely interested in this. The buy it nows are a lot higher than that.<br /><br />EDIT: nevermind I see how to do it. If you can offer it for a new customer I will gladly take it. Also be sure to let me know when the referral program is up I have a good amount of people interested
9243171,PBmining,"Quote from: ajw7989 on January 18, 2014, 08:57:41 PM<br /><br />how do we purchase the 5 year mining contracts for .016 bitcoin. I am definitely interested in this. The buy it nows are a lot higher than that.<br /><br />EDIT: nevermind I see how to do it. If you can offer it for a new customer I will gladly take it. Also be sure to let me know when the referral program is up I have a good amount of people interested<br /><br /><br />We are working on the referral system as we speak! :)<br /><br />Also, did you notice that some of my listings on Ebay are &quot;Buy it now or Best Offer?&quot;<br />You could buy 250 MH/s for dirt cheap just to get started with an account.&nbsp; I have not turned down an offer yet on the micro contracts!<br />"
9243172,PBmining,Looks like our web host (Arvixe) is having their first &quot;hiccup&quot; with us.&nbsp; I will use this as an opportunity to explain that PBMining does not stop adding mined Bitcoins to your accounts during server downtime!&nbsp; They have told me that they should be back up in 15-20 minutes.&nbsp; I apologize to anyone who loves to watch their hash power like a hawk.&nbsp; ;)
9243173,tim-tams,And this little piggy went hashing! 21<br /><br />1CYn7c2NgF2wLiNaSf8KPKqbHVmX1Aong5
9243174,empoweoqwj,"Quote from: PBmining on January 18, 2014, 06:05:14 PM<br /><br />Quote from: empoweoqwj on January 18, 2014, 10:21:09 AM<br /><br />Quote from: PBmining on January 17, 2014, 06:43:12 PM<br /><br />We also just dropped our price/GH for existing customers. &nbsp;.016/GH<br />This offer is temporary!<br /><br /><br />Just for existing customers???<br /><br /><br />For now, yes. &nbsp;We want to build trust with our first customers, by giving them the buyer protection that Ebay can offer. &nbsp;We believe in doing this for awhile before asking for Bitcoins from new users. &nbsp;New user signups will eventually come, but for now you have to either purchase our contracts on Ebay or win the Giveaway. &nbsp;:) &nbsp;<br />&nbsp;&nbsp;<br /><br /><br />I&#039;m expecting to win the Giveaway :)<br /><br />In the unlikely event that doesn&#039;t happen, I&#039;ll consider eBay, though eBay would never be my first choice for anything ;)"
9243175,PBmining,Payouts for Sunday have been made!&nbsp; &nbsp;:)


